PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,__ParsedDate__,Year,Month,MonthName,YearMonth,Quarter,_SpendTemp_,__Delivery__,LeadDays
PO-00147,Beta_Supplies,6/26/2023,7/14/2023,Raw Materials,Delivered,338,50.25,46.28,49,No,6/26/2023,2023,6,Jun,2023-06,2023Q2,50.25,7/14/2023,18
PO-00148,Gamma_Co,9/15/2022,9/22/2022,Office Supplies,Delivered,428,22.94,21.52,26,Yes,9/15/2022,2022,9,Sep,2022-09,2022Q3,22.94,9/22/2022,7
PO-00149,Beta_Supplies,7/21/2023,,Packaging,Delivered,1846,13.72,12.62,216,Yes,7/21/2023,2023,7,Jul,2023-07,2023Q3,13.72,,
PO-00150,Epsilon_Group,1/12/2022,1/17/2022,Office Supplies,Delivered,1563,77.96,70.8,41,Yes,12/1/2022,2022,12,Dec,2022-12,2022Q4,77.96,1/17/2022,-318
PO-00151,Beta_Supplies,11/28/2023,12/7/2023,Office Supplies,Delivered,280,73.07,69.29,30,Yes,11/28/2023,2023,11,Nov,2023-11,2023Q4,73.07,7/12/2023,-139
PO-00152,Delta_Logistics,4/28/2022,5/12/2022,Raw Materials,Delivered,1067,74.47,64.16,,No,4/28/2022,2022,4,Apr,2022-04,2022Q2,74.47,12/5/2022,221
PO-00153,Gamma_Co,11/30/2023,12/17/2023,Electronics,Pending,90,32.38,29.96,7,Yes,11/30/2023,2023,11,Nov,2023-11,2023Q4,32.38,12/17/2023,17
PO-00154,Gamma_Co,7/4/2023,7/5/2023,Raw Materials,Delivered,1101,24.28,22.73,59,No,4/7/2023,2023,4,Apr,2023-04,2023Q2,24.28,5/7/2023,30
PO-00155,Alpha_Inc,10/1/2022,10/11/2022,Raw Materials,Delivered,184,11.82,10.51,4,Yes,1/10/2022,2022,1,Jan,2022-01,2022Q1,11.82,11/10/2022,304
PO-00156,Epsilon_Group,10/19/2023,11/7/2023,Electronics,Delivered,250,45.92,41.02,3,Yes,10/19/2023,2023,10,Oct,2023-10,2023Q4,45.92,7/11/2023,-100
PO-00157,Epsilon_Group,12/15/2022,,Packaging,Cancelled,1913,66.56,61.34,61,Yes,12/15/2022,2022,12,Dec,2022-12,2022Q4,66.56,,
PO-00158,Beta_Supplies,4/25/2022,4/30/2022,Electronics,Delivered,829,45.98,40.39,,Yes,4/25/2022,2022,4,Apr,2022-04,2022Q2,45.98,4/30/2022,5
PO-00159,Delta_Logistics,10/28/2022,11/13/2022,Raw Materials,Delivered,979,51.59,49.69,148,Yes,10/28/2022,2022,10,Oct,2022-10,2022Q4,51.59,11/13/2022,16
PO-00160,Epsilon_Group,3/22/2023,4/9/2023,Electronics,Partially Delivered,1106,97.77,90.45,31,Yes,3/22/2023,2023,3,Mar,2023-03,2023Q1,97.77,9/4/2023,166
PO-00161,Delta_Logistics,6/11/2022,6/24/2022,Office Supplies,Pending,1121,42.38,38.34,152,Yes,11/6/2022,2022,11,Nov,2022-11,2022Q4,42.38,6/24/2022,-135
PO-00162,Alpha_Inc,4/10/2023,4/21/2023,Office Supplies,Delivered,552,60.48,56.78,10,Yes,10/4/2023,2023,10,Oct,2023-10,2023Q4,60.48,4/21/2023,-166
PO-00163,Gamma_Co,1/4/2022,1/12/2022,Packaging,Delivered,456,80.53,77.86,26,Yes,4/1/2022,2022,4,Apr,2022-04,2022Q2,80.53,12/1/2022,244
PO-00164,Delta_Logistics,9/27/2022,10/5/2022,Packaging,Delivered,1647,47.52,44.92,,Yes,9/27/2022,2022,9,Sep,2022-09,2022Q3,47.52,5/10/2022,-140
PO-00165,Epsilon_Group,5/28/2023,6/11/2023,Electronics,Pending,1801,71.27,61.24,43,Yes,5/28/2023,2023,5,May,2023-05,2023Q2,71.27,11/6/2023,162
PO-00166,Gamma_Co,7/2/2022,7/18/2022,Electronics,Delivered,854,90.24,85.53,,Yes,2/7/2022,2022,2,Feb,2022-02,2022Q1,90.24,7/18/2022,161
PO-00167,Delta_Logistics,6/4/2023,6/17/2023,Electronics,Delivered,148,103.57,98.62,23,No,4/6/2023,2023,4,Apr,2023-04,2023Q2,103.57,6/17/2023,72
PO-00168,Delta_Logistics,4/19/2022,4/24/2022,MRO,Delivered,733,23.59,22.85,92,Yes,4/19/2022,2022,4,Apr,2022-04,2022Q2,23.59,4/24/2022,5
PO-00169,Beta_Supplies,10/3/2023,10/5/2023,Raw Materials,Delivered,1945,103.2,88.56,,Yes,3/10/2023,2023,3,Mar,2023-03,2023Q1,103.2,5/10/2023,61
PO-00170,Gamma_Co,11/2/2022,11/21/2022,Raw Materials,Delivered,775,57,49.14,48,Yes,2/11/2022,2022,2,Feb,2022-02,2022Q1,57,11/21/2022,283
PO-00171,Delta_Logistics,10/17/2023,10/21/2023,Packaging,Delivered,1620,36.73,33.45,235,No,10/17/2023,2023,10,Oct,2023-10,2023Q4,36.73,10/21/2023,4
PO-00172,Beta_Supplies,6/4/2023,6/19/2023,Office Supplies,Delivered,1010,55.68,50.86,,Yes,4/6/2023,2023,4,Apr,2023-04,2023Q2,55.68,6/19/2023,74
PO-00173,Epsilon_Group,9/16/2023,10/1/2023,Office Supplies,Delivered,1812,108.02,101.02,51,Yes,9/16/2023,2023,9,Sep,2023-09,2023Q3,108.02,1/10/2023,-249
PO-00174,Delta_Logistics,7/23/2022,7/28/2022,Office Supplies,Delivered,662,55.97,50,100,Yes,7/23/2022,2022,7,Jul,2022-07,2022Q3,55.97,7/28/2022,5
PO-00175,Beta_Supplies,6/6/2022,6/11/2022,Office Supplies,Pending,1535,40.58,38.71,165,Yes,6/6/2022,2022,6,Jun,2022-06,2022Q2,40.58,11/6/2022,153
PO-00176,Beta_Supplies,1/18/2023,1/27/2023,Raw Materials,Delivered,692,71.03,67.74,70,Yes,1/18/2023,2023,1,Jan,2023-01,2023Q1,71.03,1/27/2023,9
PO-00177,Gamma_Co,6/15/2022,6/28/2022,MRO,Delivered,1842,32.4,28.08,96,Yes,6/15/2022,2022,6,Jun,2022-06,2022Q2,32.4,6/28/2022,13
PO-00178,Beta_Supplies,7/7/2023,7/18/2023,Office Supplies,Cancelled,1078,18.34,17.41,102,Yes,7/7/2023,2023,7,Jul,2023-07,2023Q3,18.34,7/18/2023,11
PO-00179,Delta_Logistics,6/28/2023,7/16/2023,Packaging,Delivered,1291,23.44,22.23,,Yes,6/28/2023,2023,6,Jun,2023-06,2023Q2,23.44,7/16/2023,18
PO-00180,Alpha_Inc,1/1/2022,1/12/2022,Electronics,Delivered,552,21.52,18.79,13,Yes,1/1/2022,2022,1,Jan,2022-01,2022Q1,21.52,12/1/2022,334
PO-00181,Epsilon_Group,9/6/2023,9/22/2023,Electronics,Delivered,816,26.04,25.61,28,Yes,6/9/2023,2023,6,Jun,2023-06,2023Q2,26.04,9/22/2023,105
PO-00182,Delta_Logistics,11/28/2022,11/30/2022,Packaging,Delivered,447,23.62,21.81,50,Yes,11/28/2022,2022,11,Nov,2022-11,2022Q4,23.62,11/30/2022,2
PO-00183,Delta_Logistics,5/16/2023,5/24/2023,Packaging,Partially Delivered,920,73.09,70.14,,Yes,5/16/2023,2023,5,May,2023-05,2023Q2,73.09,5/24/2023,8
PO-00184,Epsilon_Group,1/20/2022,1/30/2022,Packaging,Partially Delivered,844,26.37,25.08,38,Yes,1/20/2022,2022,1,Jan,2022-01,2022Q1,26.37,1/30/2022,10
PO-00185,Epsilon_Group,4/25/2022,,MRO,Delivered,442,41.73,36.45,15,Yes,4/25/2022,2022,4,Apr,2022-04,2022Q2,41.73,,
PO-00186,Beta_Supplies,1/7/2023,1/21/2023,Electronics,Cancelled,256,96.15,83.44,26,Yes,7/1/2023,2023,7,Jul,2023-07,2023Q3,96.15,1/21/2023,-161
PO-00187,Delta_Logistics,11/11/2022,,MRO,Partially Delivered,1088,55.29,53.04,161,No,11/11/2022,2022,11,Nov,2022-11,2022Q4,55.29,,
PO-00188,Beta_Supplies,9/3/2022,9/7/2022,Office Supplies,Delivered,1931,72.88,64.69,187,Yes,3/9/2022,2022,3,Mar,2022-03,2022Q1,72.88,7/9/2022,122
PO-00189,Gamma_Co,3/1/2022,3/11/2022,Electronics,Delivered,1627,25.76,25.09,74,Yes,1/3/2022,2022,1,Jan,2022-01,2022Q1,25.76,11/3/2022,304
PO-00190,Beta_Supplies,9/4/2022,,Packaging,Delivered,941,28.4,27.21,,No,4/9/2022,2022,4,Apr,2022-04,2022Q2,28.4,,
PO-00191,Gamma_Co,8/4/2023,8/6/2023,MRO,Delivered,1534,14.98,12.79,,Yes,4/8/2023,2023,4,Apr,2023-04,2023Q2,14.98,6/8/2023,61
PO-00192,Alpha_Inc,3/22/2022,4/3/2022,Raw Materials,Delivered,1764,25.46,24.52,46,Yes,3/22/2022,2022,3,Mar,2022-03,2022Q1,25.46,3/4/2022,-18
PO-00193,Delta_Logistics,3/29/2022,4/6/2022,Electronics,Delivered,1648,35.42,31.46,,No,3/29/2022,2022,3,Mar,2022-03,2022Q1,35.42,6/4/2022,67
PO-00194,Gamma_Co,5/13/2023,6/1/2023,Packaging,Delivered,913,28.01,24.06,53,Yes,5/13/2023,2023,5,May,2023-05,2023Q2,28.01,1/6/2023,-127
PO-00195,Alpha_Inc,3/12/2022,3/18/2022,Packaging,Cancelled,792,18.16,17.25,17,Yes,12/3/2022,2022,12,Dec,2022-12,2022Q4,18.16,3/18/2022,-260
PO-00196,Epsilon_Group,6/30/2023,7/3/2023,Office Supplies,Partially Delivered,1314,22.63,21.06,44,Yes,6/30/2023,2023,6,Jun,2023-06,2023Q2,22.63,3/7/2023,-115
PO-00197,Beta_Supplies,5/9/2022,5/22/2022,MRO,Delivered,613,52.5,45.19,70,Yes,9/5/2022,2022,9,Sep,2022-09,2022Q3,52.5,5/22/2022,-106
PO-00198,Alpha_Inc,5/12/2022,5/20/2022,Office Supplies,Delivered,1070,29.14,26.63,24,Yes,12/5/2022,2022,12,Dec,2022-12,2022Q4,29.14,5/20/2022,-199
PO-00199,Gamma_Co,11/7/2023,11/26/2023,Raw Materials,Partially Delivered,145,47.49,42.76,6,Yes,7/11/2023,2023,7,Jul,2023-07,2023Q3,47.49,11/26/2023,138
PO-00200,Delta_Logistics,5/2/2023,5/17/2023,Raw Materials,Delivered,1973,59.73,54.95,291,Yes,2/5/2023,2023,2,Feb,2023-02,2023Q1,59.73,5/17/2023,101
PO-00201,Epsilon_Group,7/17/2023,8/1/2023,Office Supplies,Delivered,1807,78.63,73.08,100,Yes,7/17/2023,2023,7,Jul,2023-07,2023Q3,78.63,1/8/2023,-190
PO-00202,Epsilon_Group,6/19/2022,6/20/2022,Electronics,Delivered,534,13.88,12.51,100,Yes,6/19/2022,2022,6,Jun,2022-06,2022Q2,13.88,6/20/2022,1
PO-00203,Alpha_Inc,9/29/2022,10/14/2022,Electronics,Delivered,1480,85.22,75.48,100,Yes,9/29/2022,2022,9,Sep,2022-09,2022Q3,85.22,10/14/2022,15
PO-00204,Alpha_Inc,6/25/2023,,Office Supplies,Delivered,280,72.16,62.38,100,Yes,6/25/2023,2023,6,Jun,2023-06,2023Q2,72.16,,
PO-00205,Beta_Supplies,9/14/2023,9/20/2023,Office Supplies,Cancelled,798,19.09,17.76,100,Yes,9/14/2023,2023,9,Sep,2023-09,2023Q3,19.09,9/20/2023,6
PO-00206,Epsilon_Group,3/10/2023,3/22/2023,Electronics,Delivered,1728,94.83,90.2,100,Yes,10/3/2023,2023,10,Oct,2023-10,2023Q4,94.83,3/22/2023,-195
PO-00207,Epsilon_Group,8/5/2022,,MRO,Delivered,1244,96.13,84.78,43,Yes,5/8/2022,2022,5,May,2022-05,2022Q2,96.13,,
PO-00208,Beta_Supplies,7/7/2023,7/21/2023,Office Supplies,Delivered,590,16.89,15.56,46,No,7/7/2023,2023,7,Jul,2023-07,2023Q3,16.89,7/21/2023,14
PO-00209,Delta_Logistics,12/8/2023,12/23/2023,Packaging,Delivered,1109,38.93,33.33,152,Yes,8/12/2023,2023,8,Aug,2023-08,2023Q3,38.93,12/23/2023,133
PO-00210,Beta_Supplies,7/25/2022,8/1/2022,MRO,Delivered,574,85.03,82.55,54,Yes,7/25/2022,2022,7,Jul,2022-07,2022Q3,85.03,1/8/2022,-198
PO-00211,Gamma_Co,1/1/2024,,Office Supplies,Delivered,1233,86.62,76.59,65,Yes,1/1/2024,2024,1,Jan,2024-01,2024Q1,86.62,,
PO-00212,Gamma_Co,11/16/2022,11/20/2022,Packaging,Delivered,1912,27.94,25.59,83,No,11/16/2022,2022,11,Nov,2022-11,2022Q4,27.94,11/20/2022,4
PO-00213,Alpha_Inc,2/13/2023,3/4/2023,Packaging,Delivered,1772,30.72,27.76,46,No,2/13/2023,2023,2,Feb,2023-02,2023Q1,30.72,4/3/2023,49
PO-00214,Beta_Supplies,11/19/2023,11/29/2023,Office Supplies,Delivered,1316,48.11,41.9,135,Yes,11/19/2023,2023,11,Nov,2023-11,2023Q4,48.11,11/29/2023,10
PO-00215,Beta_Supplies,10/28/2023,,Office Supplies,Delivered,1159,59.24,58.08,,Yes,10/28/2023,2023,10,Oct,2023-10,2023Q4,59.24,,
PO-00216,Alpha_Inc,1/18/2023,1/31/2023,Office Supplies,Delivered,1869,69.58,67.5,31,Yes,1/18/2023,2023,1,Jan,2023-01,2023Q1,69.58,1/31/2023,13
PO-00217,Delta_Logistics,3/25/2023,4/13/2023,Packaging,Delivered,627,46.23,42.87,,Yes,3/25/2023,2023,3,Mar,2023-03,2023Q1,46.23,4/13/2023,19
PO-00218,Beta_Supplies,6/14/2023,6/16/2023,Raw Materials,Pending,731,56.02,54.78,70,No,6/14/2023,2023,6,Jun,2023-06,2023Q2,56.02,6/16/2023,2
PO-00219,Epsilon_Group,4/8/2023,,Office Supplies,Cancelled,606,83.07,79.22,16,Yes,8/4/2023,2023,8,Aug,2023-08,2023Q3,83.07,,
PO-00220,Beta_Supplies,5/4/2022,5/14/2022,Office Supplies,Delivered,1647,13.57,12.33,157,Yes,4/5/2022,2022,4,Apr,2022-04,2022Q2,13.57,5/14/2022,39
PO-00221,Delta_Logistics,9/11/2022,9/19/2022,MRO,Delivered,1062,34.03,30.46,,Yes,11/9/2022,2022,11,Nov,2022-11,2022Q4,34.03,9/19/2022,-51
PO-00222,Beta_Supplies,8/19/2022,8/31/2022,Office Supplies,Delivered,695,76.8,69.76,,No,8/19/2022,2022,8,Aug,2022-08,2022Q3,76.8,8/31/2022,12
PO-00223,Epsilon_Group,3/7/2022,3/14/2022,MRO,Delivered,845,91.47,86.97,,Yes,7/3/2022,2022,7,Jul,2022-07,2022Q3,91.47,3/14/2022,-111
PO-00224,Gamma_Co,12/13/2022,12/18/2022,MRO,Delivered,1101,59.13,52.51,54,Yes,12/13/2022,2022,12,Dec,2022-12,2022Q4,59.13,12/18/2022,5
PO-00225,Gamma_Co,1/22/2022,1/24/2022,Raw Materials,Delivered,1693,57.89,49.84,88,Yes,1/22/2022,2022,1,Jan,2022-01,2022Q1,57.89,1/24/2022,2
PO-00226,Delta_Logistics,8/26/2023,9/10/2023,Office Supplies,Cancelled,1629,21.51,19.41,250,No,8/26/2023,2023,8,Aug,2023-08,2023Q3,21.51,10/9/2023,44
PO-00227,Delta_Logistics,7/22/2023,8/3/2023,Raw Materials,Delivered,1413,54.79,50.42,,Yes,7/22/2023,2023,7,Jul,2023-07,2023Q3,54.79,3/8/2023,-136
PO-00228,Epsilon_Group,8/24/2022,8/27/2022,Packaging,Delivered,1871,59.96,58.54,47,Yes,8/24/2022,2022,8,Aug,2022-08,2022Q3,59.96,8/27/2022,3
PO-00229,Gamma_Co,8/26/2023,,Raw Materials,Delivered,1404,34.85,30.5,78,Yes,8/26/2023,2023,8,Aug,2023-08,2023Q3,34.85,,
PO-00230,Gamma_Co,8/14/2022,8/28/2022,Electronics,Delivered,1713,35.43,34.11,74,Yes,8/14/2022,2022,8,Aug,2022-08,2022Q3,35.43,8/28/2022,14
PO-00231,Gamma_Co,1/8/2022,1/13/2022,Electronics,Delivered,1579,43.96,43.41,74,Yes,8/1/2022,2022,8,Aug,2022-08,2022Q3,43.96,1/13/2022,-200
PO-00232,Gamma_Co,3/14/2022,3/26/2022,Electronics,Delivered,1421,11.92,11.72,76,Yes,3/14/2022,2022,3,Mar,2022-03,2022Q1,11.92,3/26/2022,12
PO-00233,Epsilon_Group,12/26/2023,1/4/2024,MRO,Delivered,1546,43.47,37.37,53,Yes,12/26/2023,2023,12,Dec,2023-12,2023Q4,43.47,4/1/2024,97
PO-00234,Delta_Logistics,10/9/2023,10/18/2023,Electronics,Delivered,1304,32.08,29.36,,Yes,9/10/2023,2023,9,Sep,2023-09,2023Q3,32.08,10/18/2023,38
PO-00235,Delta_Logistics,3/2/2022,,Raw Materials,Delivered,239,39.87,35.47,32,Yes,2/3/2022,2022,2,Feb,2022-02,2022Q1,39.87,,
PO-00236,Alpha_Inc,8/23/2022,,Office Supplies,Delivered,1298,21.51,20.83,,Yes,8/23/2022,2022,8,Aug,2022-08,2022Q3,21.51,,
PO-00237,Delta_Logistics,3/11/2022,,MRO,Delivered,1458,91.05,81.56,220,Yes,11/3/2022,2022,11,Nov,2022-11,2022Q4,91.05,,
PO-00238,Gamma_Co,2/2/2022,2/13/2022,MRO,Delivered,1450,63.74,59.11,71,Yes,2/2/2022,2022,2,Feb,2022-02,2022Q1,63.74,2/13/2022,11
PO-00239,Beta_Supplies,12/5/2022,12/20/2022,Electronics,Delivered,1356,75.03,63.86,131,Yes,5/12/2022,2022,5,May,2022-05,2022Q2,75.03,12/20/2022,222
PO-00240,Gamma_Co,3/14/2022,,Packaging,Delivered,682,81.84,71.86,40,Yes,3/14/2022,2022,3,Mar,2022-03,2022Q1,81.84,,
PO-00241,Gamma_Co,6/11/2023,6/19/2023,Packaging,Delivered,677,59.52,55.29,39,Yes,11/6/2023,2023,11,Nov,2023-11,2023Q4,59.52,6/19/2023,-140
PO-00242,Delta_Logistics,9/1/2022,9/14/2022,Office Supplies,Delivered,1022,18.54,16.55,150,Yes,1/9/2022,2022,1,Jan,2022-01,2022Q1,18.54,9/14/2022,248
PO-00243,Alpha_Inc,10/13/2022,,Raw Materials,Delivered,1818,60.96,57.13,41,Yes,10/13/2022,2022,10,Oct,2022-10,2022Q4,60.96,,
PO-00244,Epsilon_Group,11/17/2023,11/29/2023,Electronics,Delivered,1332,69.73,63.8,41,Yes,11/17/2023,2023,11,Nov,2023-11,2023Q4,69.73,11/29/2023,12
PO-00245,Beta_Supplies,5/13/2023,5/26/2023,Raw Materials,Delivered,1432,83.26,77.67,174,Yes,5/13/2023,2023,5,May,2023-05,2023Q2,83.26,5/26/2023,13
PO-00246,Beta_Supplies,8/8/2022,8/26/2022,Packaging,Pending,759,50.56,46.47,63,No,8/8/2022,2022,8,Aug,2022-08,2022Q3,50.56,8/26/2022,18
PO-00247,Alpha_Inc,7/7/2023,7/19/2023,Packaging,Delivered,1529,23.42,22.44,30,Yes,7/7/2023,2023,7,Jul,2023-07,2023Q3,23.42,7/19/2023,12
PO-00248,Gamma_Co,5/16/2022,5/25/2022,Electronics,Delivered,1484,36.25,31.8,61,Yes,5/16/2022,2022,5,May,2022-05,2022Q2,36.25,5/25/2022,9
PO-00249,Epsilon_Group,8/8/2023,8/20/2023,Packaging,Delivered,698,46.73,45.61,15,Yes,8/8/2023,2023,8,Aug,2023-08,2023Q3,46.73,8/20/2023,12
PO-00250,Epsilon_Group,8/14/2023,8/22/2023,Packaging,Pending,367,74.61,71.36,13,Yes,8/14/2023,2023,8,Aug,2023-08,2023Q3,74.61,8/22/2023,8
PO-00251,Epsilon_Group,4/30/2023,5/20/2023,Office Supplies,Partially Delivered,1750,65.97,58.34,50,Yes,4/30/2023,2023,4,Apr,2023-04,2023Q2,65.97,5/20/2023,20
PO-00252,Delta_Logistics,9/6/2022,9/24/2022,Office Supplies,Partially Delivered,1298,43.73,37.21,,No,6/9/2022,2022,6,Jun,2022-06,2022Q2,43.73,9/24/2022,107
PO-00253,Gamma_Co,4/30/2023,5/20/2023,Packaging,Delivered,1892,106.2,96.37,93,Yes,4/30/2023,2023,4,Apr,2023-04,2023Q2,106.2,5/20/2023,20
PO-00254,Beta_Supplies,2/21/2023,2/24/2023,Electronics,Delivered,1307,68.71,60.64,141,Yes,2/21/2023,2023,2,Feb,2023-02,2023Q1,68.71,2/24/2023,3
PO-00255,Beta_Supplies,7/14/2022,7/29/2022,Electronics,Delivered,733,32.29,29.01,78,Yes,7/14/2022,2022,7,Jul,2022-07,2022Q3,32.29,7/29/2022,15
PO-00256,Gamma_Co,4/7/2022,,Packaging,Delivered,713,19.45,18.82,31,Yes,7/4/2022,2022,7,Jul,2022-07,2022Q3,19.45,,
PO-00257,Beta_Supplies,4/10/2022,4/24/2022,Packaging,Delivered,1900,24.11,23.45,188,Yes,10/4/2022,2022,10,Oct,2022-10,2022Q4,24.11,4/24/2022,-163
PO-00258,Delta_Logistics,11/6/2023,11/8/2023,MRO,Cancelled,1447,35.67,35.07,224,No,6/11/2023,2023,6,Jun,2023-06,2023Q2,35.67,8/11/2023,61
PO-00259,Epsilon_Group,3/18/2023,,Office Supplies,Delivered,1745,26.17,22.25,55,Yes,3/18/2023,2023,3,Mar,2023-03,2023Q1,26.17,,
PO-00260,Beta_Supplies,12/29/2022,1/14/2023,Office Supplies,Delivered,1681,28.26,26.62,143,Yes,12/29/2022,2022,12,Dec,2022-12,2022Q4,28.26,1/14/2023,16
PO-00261,Delta_Logistics,3/10/2023,3/18/2023,Electronics,Delivered,1545,38.15,36.96,214,Yes,10/3/2023,2023,10,Oct,2023-10,2023Q4,38.15,3/18/2023,-199
PO-00262,Epsilon_Group,2/25/2023,3/2/2023,Raw Materials,Delivered,1306,27.27,25.96,39,Yes,2/25/2023,2023,2,Feb,2023-02,2023Q1,27.27,2/3/2023,-22
PO-00263,Gamma_Co,4/24/2023,5/6/2023,Raw Materials,Delivered,1765,97.51,84.3,65,Yes,4/24/2023,2023,4,Apr,2023-04,2023Q2,97.51,6/5/2023,42
PO-00264,Gamma_Co,2/25/2022,3/15/2022,Packaging,Cancelled,1186,17.31,16,64,Yes,2/25/2022,2022,2,Feb,2022-02,2022Q1,17.31,3/15/2022,18
PO-00265,Delta_Logistics,11/21/2023,11/26/2023,Packaging,Delivered,1903,63.5,56.09,254,Yes,11/21/2023,2023,11,Nov,2023-11,2023Q4,63.5,11/26/2023,5
PO-00266,Delta_Logistics,11/1/2023,11/5/2023,MRO,Delivered,1570,52.1,47.87,,No,1/11/2023,2023,1,Jan,2023-01,2023Q1,52.1,5/11/2023,120
PO-00267,Delta_Logistics,10/24/2023,11/13/2023,MRO,Delivered,491,108.75,93.35,,No,10/24/2023,2023,10,Oct,2023-10,2023Q4,108.75,11/13/2023,20
PO-00268,Beta_Supplies,4/11/2022,4/20/2022,Electronics,Partially Delivered,613,20.38,20.17,58,Yes,11/4/2022,2022,11,Nov,2022-11,2022Q4,20.38,4/20/2022,-198
PO-00269,Gamma_Co,3/4/2022,3/16/2022,Raw Materials,Partially Delivered,1341,46.27,43.94,63,Yes,4/3/2022,2022,4,Apr,2022-04,2022Q2,46.27,3/16/2022,-18
PO-00270,Beta_Supplies,2/17/2023,3/4/2023,MRO,Partially Delivered,1583,103.57,89.38,164,Yes,2/17/2023,2023,2,Feb,2023-02,2023Q1,103.57,4/3/2023,45
PO-00271,Beta_Supplies,12/14/2022,,Raw Materials,Cancelled,1880,92.73,90.78,173,Yes,12/14/2022,2022,12,Dec,2022-12,2022Q4,92.73,,
PO-00272,Epsilon_Group,4/22/2022,4/26/2022,MRO,Delivered,1459,84.79,82.72,47,Yes,4/22/2022,2022,4,Apr,2022-04,2022Q2,84.79,4/26/2022,4
PO-00273,Delta_Logistics,9/12/2022,,Office Supplies,Delivered,1460,34.54,31.87,208,No,12/9/2022,2022,12,Dec,2022-12,2022Q4,34.54,,
PO-00274,Beta_Supplies,7/16/2022,7/28/2022,Packaging,Partially Delivered,1186,26.14,24.78,112,Yes,7/16/2022,2022,7,Jul,2022-07,2022Q3,26.14,7/28/2022,12
PO-00275,Epsilon_Group,7/14/2022,7/23/2022,MRO,Pending,1686,72.28,65.21,53,Yes,7/14/2022,2022,7,Jul,2022-07,2022Q3,72.28,7/23/2022,9
PO-00276,Alpha_Inc,7/4/2023,7/8/2023,MRO,Delivered,1698,102.07,100.69,28,Yes,4/7/2023,2023,4,Apr,2023-04,2023Q2,102.07,8/7/2023,122
PO-00277,Epsilon_Group,4/5/2023,,Electronics,Delivered,1001,64.62,55.7,32,Yes,5/4/2023,2023,5,May,2023-05,2023Q2,64.62,,
PO-00278,Alpha_Inc,5/24/2022,5/27/2022,Office Supplies,Delivered,1154,62.67,54.11,25,Yes,5/24/2022,2022,5,May,2022-05,2022Q2,62.67,5/27/2022,3
PO-00279,Alpha_Inc,3/9/2023,3/29/2023,Packaging,Cancelled,748,37.66,32.71,,No,9/3/2023,2023,9,Sep,2023-09,2023Q3,37.66,3/29/2023,-158
PO-00280,Alpha_Inc,7/7/2022,,Office Supplies,Delivered,162,81.63,78.76,2,Yes,7/7/2022,2022,7,Jul,2022-07,2022Q3,81.63,,
PO-00281,Alpha_Inc,10/13/2022,10/24/2022,Packaging,Delivered,51,28.04,24.13,0,Yes,10/13/2022,2022,10,Oct,2022-10,2022Q4,28.04,10/24/2022,11
PO-00282,Delta_Logistics,4/19/2023,4/24/2023,Office Supplies,Delivered,691,42.07,39.1,106,Yes,4/19/2023,2023,4,Apr,2023-04,2023Q2,42.07,4/24/2023,5
PO-00283,Beta_Supplies,9/13/2022,9/20/2022,Office Supplies,Delivered,269,50.22,45.75,32,No,9/13/2022,2022,9,Sep,2022-09,2022Q3,50.22,9/20/2022,7
PO-00284,Beta_Supplies,3/19/2022,4/6/2022,Electronics,Pending,1639,56.24,55.4,147,Yes,3/19/2022,2022,3,Mar,2022-03,2022Q1,56.24,6/4/2022,77
PO-00285,Alpha_Inc,3/30/2023,4/6/2023,Raw Materials,Delivered,904,34.04,30.06,26,Yes,3/30/2023,2023,3,Mar,2023-03,2023Q1,34.04,6/4/2023,66
PO-00286,Beta_Supplies,7/18/2023,7/26/2023,Office Supplies,Delivered,1809,22.17,19.65,,Yes,7/18/2023,2023,7,Jul,2023-07,2023Q3,22.17,7/26/2023,8
PO-00287,Alpha_Inc,4/11/2022,4/16/2022,Packaging,Delivered,1298,65.93,58.95,,Yes,11/4/2022,2022,11,Nov,2022-11,2022Q4,65.93,4/16/2022,-202
PO-00288,Beta_Supplies,2/21/2022,3/13/2022,Packaging,Delivered,434,36.16,34.79,41,Yes,2/21/2022,2022,2,Feb,2022-02,2022Q1,36.16,3/13/2022,20
PO-00289,Epsilon_Group,10/30/2023,11/4/2023,Electronics,Delivered,1476,68.85,65.28,43,Yes,10/30/2023,2023,10,Oct,2023-10,2023Q4,68.85,4/11/2023,-202
PO-00290,Delta_Logistics,7/8/2023,,Raw Materials,Partially Delivered,1711,26.04,24.81,290,Yes,8/7/2023,2023,8,Aug,2023-08,2023Q3,26.04,,
PO-00291,Gamma_Co,1/16/2022,1/22/2022,Packaging,Delivered,1203,53.3,47.68,49,Yes,1/16/2022,2022,1,Jan,2022-01,2022Q1,53.3,1/22/2022,6
PO-00292,Alpha_Inc,4/6/2022,4/7/2022,Electronics,Delivered,1126,58.8,52.22,,Yes,6/4/2022,2022,6,Jun,2022-06,2022Q2,58.8,7/4/2022,30
PO-00293,Epsilon_Group,8/31/2022,9/12/2022,Packaging,Delivered,1757,15.18,13.06,63,Yes,8/31/2022,2022,8,Aug,2022-08,2022Q3,15.18,12/9/2022,100
